İlçe,Metrekare (Net),Oda Sayısı,Bulunduğu Kat,Kat Sayısı,Balkon Durumu,Eşya Durumu,Kullanım Durumu,Sitede Olma Durumu,Kimden,Salon Sayısı,Bina Yaşı Sınıfı,Isınma Sınıfı,Fiyat (TL)
5,125.0,2.0,1,5,1,0,0,0,2,1.0,0,6,1134999.0
3,90.0,2.0,1,5,1,0,0,0,2,1.0,0,6,2850000.0
3,135.0,3.0,3,5,1,0,0,1,2,1.0,0,6,3499999.0
11,70.0,2.0,1,5,0,0,0,0,2,1.0,4,6,2050000.0
3,75.0,1.0,1,4,1,0,0,1,2,1.0,4,6,1899000.0
3,110.0,2.0,1,4,1,0,0,0,2,1.0,0,6,1134999.0
5,80.0,1.0,3,4,1,0,0,0,2,1.0,3,6,897000.0
5,100.0,2.0,1,6,1,0,0,0,2,1.0,0,6,993000.0
3,135.0,3.0,2,5,1,0,0,0,2,1.0,0,6,1950000.0
5,110.0,2.0,3,5,1,0,0,0,2,1.0,3,6,879900.0
3,140.0,3.0,3,4,1,0,0,1,2,1.0,0,6,3499999.0
3,135.0,3.0,2,4,1,0,0,1,2,1.0,0,6,3600000.0
3,180.0,3.0,3,3,1,0,0,1,2,2.0,0,6,2168000.0
5,110.0,2.0,2,4,1,0,0,0,2,1.0,3,6,1087000.0
4,150.0,3.0,1,5,1,0,0,1,2,1.0,0,6,5390000.0
1,95.0,2.0,10,14,1,0,0,1,2,1.0,10,4,5600000.0
8,175.0,4.0,9,12,1,0,2,0,2,1.0,0,5,27950000.0
5,170.0,4.0,3,3,1,0,0,1,2,1.0,4,6,2950000.0
3,110.0,2.0,1,4,1,0,0,1,2,1.0,0,6,1799900.0
8,95.0,3.0,6,6,1,0,0,0,2,1.0,6,6,9650000.0
3,145.0,3.0,3,4,1,0,0,1,2,1.0,0,6,2294999.0
3,120.0,2.0,2,3,1,0,0,1,2,1.0,0,6,2119999.0
3,145.0,3.0,7,15,1,0,0,1,2,1.0,8,6,3450000.0
5,100.0,2.0,2,5,1,0,0,0,2,1.0,3,6,1300000.0
5,90.0,2.0,1,6,0,0,0,0,2,1.0,3,6,1155000.0
11,80.0,2.0,1,5,0,0,2,0,2,1.0,5,6,3300000.0
5,90.0,2.0,5,19,0,0,0,1,2,1.0,2,6,1899999.0
3,80.0,2.0,2,4,1,0,0,1,2,1.0,0,6,1819000.0
5,54.0,1.0,15,18,0,1,2,1,2,1.0,5,5,1725000.0
0,150.0,4.0,3,16,1,0,2,1,2,1.0,7,6,18450000.0
5,120.0,3.0,1,4,1,0,0,0,2,1.0,0,6,765000.0
5,85.0,2.0,1,5,0,0,0,0,2,1.0,3,6,990000.0
3,90.0,2.0,2,3,1,0,0,1,2,1.0,0,6,1599000.0
11,50.0,1.0,1,5,0,1,0,0,2,1.0,1,6,3175000.0
8,165.0,4.0,1,5,1,0,0,0,2,1.0,10,3,7000000.0
12,105.0,2.0,2,10,1,0,0,1,2,1.0,2,5,11200000.0
3,105.0,2.0,4,5,1,0,0,1,2,1.0,0,6,2099999.0
5,127.0,3.0,1,5,1,0,0,0,2,1.0,0,6,1289000.0
5,130.0,3.0,1,4,1,0,0,0,2,1.0,3,6,999999.0
11,65.0,2.0,1,4,1,0,1,0,2,1.0,5,6,3175000.0
8,85.0,2.0,7,7,1,0,0,0,2,1.0,0,6,8450000.0
3,110.0,2.0,1,4,0,0,0,1,2,1.0,0,6,2150000.0
3,110.0,2.0,2,5,1,0,0,1,2,1.0,0,6,2950000.0
3,130.0,3.0,1,5,1,0,0,0,2,1.0,0,6,1850000.0
11,120.0,3.0,1,4,1,0,1,0,2,1.0,9,5,2950000.0
5,90.0,2.0,3,12,0,0,0,1,2,1.0,0,6,3400000.0
3,110.0,2.0,3,5,0,0,0,0,2,1.0,0,6,2399999.0
3,160.0,3.0,2,3,1,0,0,1,2,2.0,0,6,3099999.0
3,110.0,2.0,2,5,1,0,0,0,2,1.0,0,6,1349000.0
3,110.0,2.0,2,4,1,0,0,0,2,1.0,0,6,1655000.0
3,90.0,2.0,1,4,1,0,0,0,2,1.0,5,6,1745000.0
5,90.0,2.0,1,6,1,0,0,0,2,1.0,5,6,755000.0
8,80.0,2.0,1,13,1,0,2,0,2,1.0,5,5,7000000.0
3,100.0,2.0,1,5,1,0,0,1,2,1.0,0,6,5190000.0
3,140.0,3.0,1,5,1,0,0,0,2,1.0,0,6,1499999.0
5,301.0,5.0,10,10,1,1,1,1,1,1.0,6,6,9100000.0
3,200.0,4.0,7,12,1,0,0,1,2,1.0,4,6,8675000.0
3,105.0,2.0,1,3,1,0,0,1,2,1.0,0,6,1824000.0
8,88.0,2.0,11,13,1,0,0,0,2,1.0,0,6,5800000.0
3,100.0,2.0,1,6,0,0,0,0,2,1.0,2,6,699000.0
3,100.0,2.0,1,5,0,0,1,0,2,1.0,5,6,2650000.0
5,115.0,2.0,1,4,1,0,0,0,2,1.0,0,6,989999.0
3,115.0,2.0,2,3,1,0,0,1,2,1.0,0,6,2599000.0
8,90.0,3.0,2,8,1,0,0,0,2,1.0,0,6,7845000.0
3,150.0,3.0,2,3,1,0,0,1,2,1.0,0,6,3599999.0
3,120.0,3.0,1,5,1,0,0,0,2,1.0,5,6,1409000.0
5,100.0,2.0,1,6,1,0,0,0,2,1.0,1,6,651000.0
3,130.0,3.0,2,3,1,0,0,1,2,1.0,0,6,2899999.0
3,130.0,3.0,2,3,1,0,0,1,2,1.0,0,6,3659000.0
10,119.0,3.0,2,8,1,0,0,1,2,1.0,0,3,18700000.0
3,90.0,2.0,1,4,1,0,0,1,2,1.0,0,6,1890000.0
3,120.0,2.0,2,4,1,0,0,1,2,1.0,0,6,2499999.0
5,115.0,2.0,8,16,1,0,0,1,1,1.0,0,5,1590000.0
3,115.0,2.0,2,4,1,0,0,0,2,1.0,0,6,1499000.0
